start_frame,end_frame,num_vehicles,scenario
1337,1387,53,Cut-In
1338,1388,52,Cut-In
1339,1389,52,Cut-In
1340,1390,52,Cut-In
1341,1391,54,Cut-In
1342,1392,54,Cut-In
1343,1393,54,Cut-In
1344,1394,54,Cut-In
1345,1395,54,Cut-In
1346,1396,54,Cut-In
1347,1397,54,Cut-In
1348,1398,54,Cut-In
1349,1399,53,Cut-In
1350,1400,53,Cut-In
1351,1401,52,Cut-In
1352,1402,51,Cut-In
1353,1403,52,Cut-In
1354,1404,52,Cut-In
1355,1405,53,Cut-In
1356,1406,53,Cut-In
1357,1407,53,Cut-In
1358,1408,52,Cut-In
1359,1409,52,Car Following
1360,1410,52,Car Following
1361,1411,52,Car Following
1362,1412,53,Car Following
1363,1413,53,Car Following
1364,1414,51,Car Following
1365,1415,51,Car Following
1366,1416,52,Car Following
1367,1417,52,Car Following
1368,1418,52,Car Following
1369,1419,52,Car Following
1370,1420,53,Car Following
1371,1421,51,Car Following
1372,1422,51,Car Following
1373,1423,51,Car Following
1374,1424,51,Car Following
1375,1425,51,Car Following
1376,1426,51,Car Following
1377,1427,50,Car Following
1378,1428,51,Car Following
1379,1429,51,Car Following
1380,1430,51,Car Following
1381,1431,51,Car Following
1382,1432,51,Car Following
1383,1433,51,Car Following
1384,1434,51,Car Following
1385,1435,51,Car Following
1386,1436,52,Car Following
1387,1437,52,Car Following
1388,1438,51,Car Following
1389,1439,52,Car Following
1390,1440,51,Car Following
1391,1441,51,Car Following
1392,1442,51,Car Following
1393,1443,51,Car Following
1394,1444,51,Car Following
1395,1445,50,Car Following
1396,1446,50,Car Following
1397,1447,50,Car Following
1398,1448,51,Car Following
1399,1449,52,Car Following
1400,1450,53,Car Following
1401,1451,52,Car Following
1402,1452,51,Car Following
1403,1453,51,Car Following
1404,1454,51,Cut-In
1405,1455,51,Cut-In
1406,1456,51,Cut-In
1407,1457,51,Cut-In
1408,1458,51,Cut-In
1409,1459,53,Cut-In
1410,1460,53,Cut-In
1411,1461,53,Cut-In
1412,1462,53,Cut-In
1413,1463,53,Cut-In
1414,1464,51,Cut-In
1415,1465,51,Cut-In
1416,1466,51,Cut-In
1417,1467,51,Cut-In
1418,1468,51,Cut-In
1419,1469,52,Cut-In
1420,1470,51,Cut-In
1421,1471,51,Cut-In
1422,1472,51,Cut-In
1423,1473,52,Cut-In
1424,1474,53,Cut-In
1425,1475,52,Cut-In
1426,1476,52,Cut-In
1427,1477,52,Cut-In
1428,1478,52,Cut-In
1429,1479,52,Cut-In
1430,1480,53,Cut-In
1431,1481,53,Cut-In
1432,1482,53,Cut-In
1433,1483,54,Cut-In
1434,1484,54,Cut-In
1435,1485,54,Cut-In
1436,1486,55,Cut-In
1437,1487,54,Cut-In
1438,1488,53,Cut-In
1439,1489,53,Cut-In
1440,1490,52,Cut-In
1441,1491,52,Cut-In
1442,1492,52,Cut-In
1443,1493,51,Cut-In
1444,1494,51,Cut-In
1445,1495,51,Cut-In
1446,1496,51,Cut-In
1447,1497,51,Cut-In
1448,1498,51,Cut-In
1449,1499,51,Cut-In
1450,1500,51,Cut-In
1451,1501,50,Cut-In
1452,1502,51,Cut-In
1453,1503,51,Cut-In
1454,1504,51,Car Following
1455,1505,51,Car Following
1456,1506,50,Car Following
1457,1507,50,Car Following
1458,1508,51,Car Following
1459,1509,52,Car Following
1460,1510,52,Car Following
1461,1511,52,Car Following
1462,1512,52,Car Following
1463,1513,53,Car Following
1464,1514,53,Car Following
